participant,Intromessage,initials,birthdate,age,sex,gender,ethnicity,race,education,handedness,nativeenglish,secondlang,whatseclang,LangClassification,colorblind,whatcolorblind,outromessage,CollinsNaming,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.5305de7c-1740-4b29-9210-8ddbb2d6b876.txt,1309,2381,9656,3469,22071,1832,1710,1492,3279,1719,1891,1777,"",3574,1760,"",1391,"",6766,2020-06-03-00-23,"",""
s.0de183b0-a5db-4f70-aee9-70fec1d9d00b.txt,1201,5600,5696,3033,2500,2060,3195,2890,10001,3002,3394,4451,4389,34759,2124,"",1529,"",4474,2020-06-03-23-12,2020-06-03-23-29,17
s.fc395222-a46d-44eb-b8f5-14aad16b5096.txt,3088,2625,7050,2727,1431,1442,2770,1586,4530,2510,1649,1207,3504,7983,2020,"",1194,"",6250,2020-06-03-04-35,2020-06-03-04-43,8
s.a45b9f26-e6cb-42f0-a257-0949e4ad70ae.txt,1026,20318,19607,5607,3121,4992,18904,2468,12715,6297,4533,9156,9321,51417,4461,"",6686,"",17909,2020-06-04-14-24,2020-06-04-14-54,30
s.391782db-12a9-41a7-a43a-61586409c627.txt,5205,4455,9097,3760,2125,3849,5514,2044,4290,2168,1959,2746,"",2156,3604,"",1429,"",8123,2020-06-02-23-14,2020-06-02-23-29,15
s.7547d316-948d-4105-8e0d-7117822221af.txt,4165,3315,7871,3323,2392,2933,3854,3118,5743,3225,5038,2887,"",7130,4189,"",1472,"",3894,2020-06-03-09-35,2020-06-03-09-43,8
s.eda82025-b92a-4815-a53f-904942d00bb7.txt,10521,2121,4835,2112,1601,1880,2647,1738,3298,2495,2500,1979,2584,2002,1678,"",895,"",16541,2020-06-04-01-46,2020-06-04-01-54,8
s.166527e7-9731-48cb-a8c4-38e8b3e365f7.txt,891,2932,5916,3646,2233,1881,1259,1901,1267,1668,1371,2854,"",1316,1807,"",1101,"",3920,2020-06-03-23-32,2020-06-03-23-40,8
s.65efe373-2010-4010-8a27-75568a4763d9.txt,5742,4981,8002,3572,2862,3781,3646,4326,5215,4608,3014,3128,"",2919,3207,"",2210,"",11688,2020-06-03-17-16,2020-06-03-17-30,14
s.e439c26b-a546-4271-9d3a-3f06ae74fd7e.txt,2517,3067,5175,3114,3047,3237,8224,2876,8121,3236,3524,2212,"",35495,2530,"",2163,"",12689,2020-06-03-00-20,"",""
s.06810d80-cd1f-42af-a1c1-11ef4e3d9bb9.txt,26298,3886,"","","","","","","","","","","","","","","","",36734,2020-06-04-23-09,"",""
s.8159101c-52e8-4d81-9b94-507f37909ebf.txt,1420,5781,4781,3194,2381,2607,3199,3061,3439,3154,2513,2192,"",6641,2317,"",1844,"",6940,2020-06-04-19-57,2020-06-04-20-09,12
s.bf98799a-64e2-46b7-b7d9-0e8a965cb425.txt,2246,4821,6744,2764,1998,2656,2742,1998,3358,2859,2704,3122,"",3819,2683,"",3937,"",92809,2020-06-03-09-31,2020-06-03-09-53,22
s.4b255f2f-822e-4fac-8be3-c87fc16a6398.txt,32627,6764,8980,7127,16043,4688,60705,64173,11200,20949,7397,11199,7386,9528,5546,"",2427,"",29165,2020-06-04-08-52,2020-06-04-09-13,21
s.dbdc1860-4e07-431c-b3fc-8c59ccfc69dc.txt,1236,12939,7858,3137,1696,64897,3550,1655,49058,13675,7071,10725,15674,10297,3373,"",7615,"",21526,2020-06-04-01-05,"",""
s.d2e4c8d7-8d5a-4a7c-8339-ea7a33914a69.txt,16157,10229,7381,3475,1998,2582,2007,4368,2827,2052,133078,3014,4416,1914,2467,"",381384,"",15159,2020-06-04-01-22,2020-06-04-02-05,43
s.c0194b9b-bef8-4817-84e0-be306a40c88b.txt,3140,4135,5625,3728,2553,1399,2998,3131,13403,2182,3080,3624,7081,12665,2260,"",3459,"",12893,2020-06-03-23-09,2020-06-03-23-27,18
s.c4e83e54-6c6d-4657-9f9f-72037bdef3cb.txt,2970,2658,9069,3550,2126,1863,2242,1893,4650,1866,2685,2053,4633,7281,2259,"",3001,"",3102,2020-06-03-02-39,2020-06-03-02-50,11
s.e0a30016-a543-470a-94de-bd751de6bc35.txt,46844,3556,9927,3210,1717,2650,2105,4470,"","","","","","","","","","",50088,2020-06-03-03-14,"",""
