subjects,s3.1.behav,s3.2.behav,s3.3.behav,s3.4.behav,s3.5.behav,s3.6.behav,s3.7.behav,s3.8.behav,s3.9.behav,s3.10.behav,s3.11.behav,s3.12.behav,s6.1.behav,s6.2.behav,s6.3.behav,s6.4.behav,s6.5.behav,s6.6.behav,s6.7.behav,s6.8.behav,s6.9.behav,s6.10.behav,s6.11.behav,s6.12.behav,s3.13.behav,s6.13.behav,model,s3.1.model,s3.2.model,s3.3.model,s3.4.model,s3.5.model,s3.6.model,s3.7.model,s3.8.model,s3.9.model,s3.10.model,s3.11.model,s3.12.model,s6.1.model,s6.2.model,s6.3.model,s6.4.model,s6.5.model,s6.6.model,s6.7.model,s6.8.model,s6.9.model,s6.10.model,s6.11.model,s6.12.model,bll,alpha,egs,imag,ans,bias,s3.13.model,s6.13.model
6200,0.333333333333333,0.583333333333333,0.875,0.958333333333333,0.875,0.958333333333333,0.958333333333333,0.916666666666667,0.875,0.958333333333333,0.916666666666667,0.875,0.5,0.555555555555556,0.777777777777778,0.722222222222222,0.638888888888889,0.777777777777778,0.777777777777778,0.75,0.805555555555556,0.805555555555556,0.861111111111111,0.861111111111111,0.638888888888889,0.673611111111111,LTM,0.36,0.5366666667,0.63,0.7733333333,0.8666666667,0.92,0.9533333333,0.9466666667,0.9733333333,0.9733333333,0.97,0.99,0.3433333333,0.4833333333,0.5983333333,0.6583333333,0.745,0.7783333333,0.8316666667,0.8666666667,0.8966666667,0.915,0.9333333333,0.94,0.7,NA,NA,0.1,0.5,NA,0.6833333333,0.6558333333
6201,0.458333333333333,0.583333333333333,0.708333333333333,0.916666666666667,0.958333333333333,1,1,0.958333333333333,0.958333333333333,1,0.916666666666667,0.916666666666667,0.333333333333333,0.527777777777778,0.555555555555556,0.75,0.916666666666667,0.944444444444444,0.944444444444444,0.944444444444444,0.972222222222222,0.972222222222222,0.916666666666667,0.972222222222222,0.916666666666667,0.854166666666667,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6202,0.375,0.791666666666667,0.833333333333333,0.916666666666667,0.958333333333333,1,0.875,1,0.916666666666667,1,0.875,1,0.305555555555556,0.416666666666667,0.5,0.666666666666667,0.722222222222222,0.833333333333333,0.861111111111111,0.861111111111111,0.916666666666667,0.888888888888889,0.861111111111111,0.972222222222222,0.652777777777778,0.791666666666667,LTM,0.3866666667,0.55,0.66,0.7866666667,0.84,0.8966666667,0.9466666667,0.96,0.9733333333,0.9866666667,0.9966666667,0.9966666667,0.3366666667,0.4883333333,0.6116666667,0.7,0.7783333333,0.8216666667,0.875,0.8933333333,0.9183333333,0.9266666667,0.9466666667,0.96,0.7,NA,NA,0.1,0.3,NA,0.7333333333,0.7225
6204,0.166666666666667,0.5,0.875,0.958333333333333,0.916666666666667,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,1,0.916666666666667,0.916666666666667,0.444444444444444,0.666666666666667,0.555555555555556,0.666666666666667,0.777777777777778,0.694444444444444,0.694444444444444,0.861111111111111,0.638888888888889,0.833333333333333,0.833333333333333,0.916666666666667,0.847222222222222,0.659722222222222,LTM,0.3866666667,0.55,0.66,0.7866666667,0.84,0.8966666667,0.9466666667,0.96,0.9733333333,0.9866666667,0.9966666667,0.9966666667,0.3366666667,0.4883333333,0.6116666667,0.7,0.7783333333,0.8216666667,0.875,0.8933333333,0.9183333333,0.9266666667,0.9466666667,0.96,0.7,NA,NA,0.1,0.3,NA,0.7333333333,0.7225
6205,0.291666666666667,0.541666666666667,0.791666666666667,0.833333333333333,0.916666666666667,1,0.958333333333333,0.958333333333333,0.958333333333333,1,1,0.916666666666667,0.361111111111111,0.472222222222222,0.527777777777778,0.722222222222222,0.75,0.805555555555556,0.666666666666667,0.833333333333333,0.805555555555556,0.861111111111111,0.916666666666667,0.944444444444444,0.888888888888889,0.805555555555556,LTM,0.3233333333,0.5066666667,0.64,0.7266666667,0.8533333333,0.9233333333,0.9333333333,0.9633333333,0.9733333333,0.9866666667,0.9866666667,0.9933333333,0.3033333333,0.4666666667,0.605,0.6966666667,0.7866666667,0.8116666667,0.8666666667,0.905,0.9283333333,0.9533333333,0.945,0.965,0.6,NA,NA,0.1,0.4,NA,0.8416666667,0.7941666667
6206,0.375,0.458333333333333,0.75,0.958333333333333,0.875,0.791666666666667,0.833333333333333,0.958333333333333,0.916666666666667,0.833333333333333,1,0.833333333333333,0.472222222222222,0.5,0.638888888888889,0.694444444444444,0.75,0.777777777777778,0.805555555555556,0.861111111111111,0.944444444444444,0.833333333333333,0.888888888888889,0.833333333333333,0.736111111111111,0.854166666666667,LTM,0.35,0.5233333333,0.5766666667,0.76,0.8033333333,0.8733333333,0.9,0.91,0.9366666667,0.96,0.98,0.9833333333,0.325,0.4583333333,0.5666666667,0.6983333333,0.7383333333,0.8133333333,0.8283333333,0.875,0.89,0.9383333333,0.9316666667,0.96,0.6,NA,NA,0.1,0.5,NA,0.7916666667,0.7941666667
6207,0.458333333333333,0.541666666666667,0.833333333333333,1,0.958333333333333,1,1,1,1,1,1,0.916666666666667,0.444444444444444,0.5,0.722222222222222,0.916666666666667,0.833333333333333,0.916666666666667,0.944444444444444,0.916666666666667,0.972222222222222,0.944444444444444,1,0.944444444444444,0.805555555555556,0.770833333333333,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6209,0.25,0.666666666666667,0.791666666666667,0.916666666666667,0.958333333333333,0.916666666666667,0.875,0.958333333333333,0.875,0.958333333333333,0.875,0.916666666666667,0.25,0.666666666666667,0.666666666666667,0.638888888888889,0.638888888888889,0.777777777777778,0.805555555555556,0.777777777777778,0.861111111111111,1,0.916666666666667,0.777777777777778,0.708333333333333,0.777777777777778,LTM,0.3866666667,0.55,0.66,0.7866666667,0.84,0.8966666667,0.9466666667,0.96,0.9733333333,0.9866666667,0.9966666667,0.9966666667,0.3366666667,0.4883333333,0.6116666667,0.7,0.7783333333,0.8216666667,0.875,0.8933333333,0.9183333333,0.9266666667,0.9466666667,0.96,0.7,NA,NA,0.1,0.3,NA,0.7333333333,0.7225
6210,0.25,0.5,0.791666666666667,0.833333333333333,0.916666666666667,0.791666666666667,1,0.875,0.916666666666667,0.958333333333333,1,0.958333333333333,0.388888888888889,0.611111111111111,0.777777777777778,0.833333333333333,0.777777777777778,0.833333333333333,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,0.972222222222222,1,0.722222222222222,0.923611111111111,metaRL,0.2366666667,0.4366666667,0.56,0.7,0.7966666667,0.83,0.8866666667,0.8933333333,0.91,0.9333333333,0.9466666667,0.9533333333,0.345,0.4783333333,0.6016666667,0.7383333333,0.8266666667,0.8866666667,0.945,0.9733333333,0.9766666667,0.985,0.9866666667,0.9916666667,0.6,0.2,0.1,0.5,0.5,0.3151505828,0.7308333333,0.9841666667
6211,0.333333333333333,0.625,0.75,0.75,0.833333333333333,0.875,0.958333333333333,1,0.958333333333333,1,0.916666666666667,1,0.611111111111111,0.694444444444444,0.833333333333333,0.888888888888889,0.944444444444444,0.972222222222222,0.944444444444444,0.972222222222222,0.972222222222222,0.972222222222222,1,1,0.847222222222222,0.951388888888889,LTM,0.3133333333,0.5466666667,0.7166666667,0.8033333333,0.8466666667,0.89,0.9366666667,0.9366666667,0.9566666667,0.9666666667,0.99,1,0.3883333333,0.5633333333,0.69,0.7766666667,0.8383333333,0.8983333333,0.9283333333,0.9433333333,0.96,0.9683333333,0.975,0.9816666667,0.6,NA,NA,0.2,0.5,NA,0.9158333333,0.9458333333
