subjects,model,s3.1,s3.2,s3.3,s3.4,s3.5,s3.6,s3.7,s3.8,s3.9,s3.10,s3.11,s3.12,s6.1,s6.2,s6.3,s6.4,s6.5,s6.6,s6.7,s6.8,s6.9,s6.10,s6.11,s6.12,bll,alpha,egs,imag,ans,bias,s3.13,s6.13
6217,RL,0.39,0.5466666667,0.8166666667,0.9166666667,0.9633333333,0.9933333333,0.9933333333,0.9933333333,0.9933333333,0.99,0.9966666667,1,0.335,0.5366666667,0.825,0.9333333333,0.9716666667,0.9816666667,0.9883333333,0.995,1,0.9983333333,0.9983333333,0.9983333333,NA,0.25,0.1,NA,NA,NA,0.9983333333,0.9941666667
15014,RL,0.39,0.5466666667,0.8166666667,0.9166666667,0.9633333333,0.9933333333,0.9933333333,0.9933333333,0.9933333333,0.99,0.9966666667,1,0.335,0.5366666667,0.825,0.9333333333,0.9716666667,0.9816666667,0.9883333333,0.995,1,0.9983333333,0.9983333333,0.9983333333,NA,0.25,0.1,NA,NA,NA,0.9983333333,0.9941666667
28306,RL,0.39,0.5466666667,0.8166666667,0.9166666667,0.9633333333,0.9933333333,0.9933333333,0.9933333333,0.9933333333,0.99,0.9966666667,1,0.335,0.5366666667,0.825,0.9333333333,0.9716666667,0.9816666667,0.9883333333,0.995,1,0.9983333333,0.9983333333,0.9983333333,NA,0.25,0.1,NA,NA,NA,0.9983333333,0.9941666667
28328,RL,0.39,0.5466666667,0.8166666667,0.9166666667,0.9633333333,0.9933333333,0.9933333333,0.9933333333,0.9933333333,0.99,0.9966666667,1,0.335,0.5366666667,0.825,0.9333333333,0.9716666667,0.9816666667,0.9883333333,0.995,1,0.9983333333,0.9983333333,0.9983333333,NA,0.25,0.1,NA,NA,NA,0.9983333333,0.9941666667
6200,LTM,0.36,0.5366666667,0.63,0.7733333333,0.8666666667,0.92,0.9533333333,0.9466666667,0.9733333333,0.9733333333,0.97,0.99,0.3433333333,0.4833333333,0.5983333333,0.6583333333,0.745,0.7783333333,0.8316666667,0.8666666667,0.8966666667,0.915,0.9333333333,0.94,0.7,NA,NA,0.1,0.5,NA,0.6833333333,0.6558333333
6201,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6202,LTM,0.3866666667,0.55,0.66,0.7866666667,0.84,0.8966666667,0.9466666667,0.96,0.9733333333,0.9866666667,0.9966666667,0.9966666667,0.3366666667,0.4883333333,0.6116666667,0.7,0.7783333333,0.8216666667,0.875,0.8933333333,0.9183333333,0.9266666667,0.9466666667,0.96,0.7,NA,NA,0.1,0.3,NA,0.7333333333,0.7225
6204,LTM,0.3866666667,0.55,0.66,0.7866666667,0.84,0.8966666667,0.9466666667,0.96,0.9733333333,0.9866666667,0.9966666667,0.9966666667,0.3366666667,0.4883333333,0.6116666667,0.7,0.7783333333,0.8216666667,0.875,0.8933333333,0.9183333333,0.9266666667,0.9466666667,0.96,0.7,NA,NA,0.1,0.3,NA,0.7333333333,0.7225
6205,LTM,0.3233333333,0.5066666667,0.64,0.7266666667,0.8533333333,0.9233333333,0.9333333333,0.9633333333,0.9733333333,0.9866666667,0.9866666667,0.9933333333,0.3033333333,0.4666666667,0.605,0.6966666667,0.7866666667,0.8116666667,0.8666666667,0.905,0.9283333333,0.9533333333,0.945,0.965,0.6,NA,NA,0.1,0.4,NA,0.8416666667,0.7941666667
6206,LTM,0.35,0.5233333333,0.5766666667,0.76,0.8033333333,0.8733333333,0.9,0.91,0.9366666667,0.96,0.98,0.9833333333,0.325,0.4583333333,0.5666666667,0.6983333333,0.7383333333,0.8133333333,0.8283333333,0.875,0.89,0.9383333333,0.9316666667,0.96,0.6,NA,NA,0.1,0.5,NA,0.7916666667,0.7941666667
6207,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6209,LTM,0.3866666667,0.55,0.66,0.7866666667,0.84,0.8966666667,0.9466666667,0.96,0.9733333333,0.9866666667,0.9966666667,0.9966666667,0.3366666667,0.4883333333,0.6116666667,0.7,0.7783333333,0.8216666667,0.875,0.8933333333,0.9183333333,0.9266666667,0.9466666667,0.96,0.7,NA,NA,0.1,0.3,NA,0.7333333333,0.7225
6211,LTM,0.3133333333,0.5466666667,0.7166666667,0.8033333333,0.8466666667,0.89,0.9366666667,0.9366666667,0.9566666667,0.9666666667,0.99,1,0.3883333333,0.5633333333,0.69,0.7766666667,0.8383333333,0.8983333333,0.9283333333,0.9433333333,0.96,0.9683333333,0.975,0.9816666667,0.6,NA,NA,0.2,0.5,NA,0.9158333333,0.9458333333
6215,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6216,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6219,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6220,LTM,0.34,0.5133333333,0.6866666667,0.7866666667,0.8533333333,0.89,0.9233333333,0.9333333333,0.9533333333,0.9733333333,0.9766666667,0.98,0.3316666667,0.455,0.625,0.735,0.8,0.8316666667,0.8716666667,0.8966666667,0.9116666667,0.9416666667,0.95,0.955,0.7,NA,NA,0.1,0.1,NA,0.8241666667,0.8033333333
