Subjects,wpt_tot_acc,wpt_slope,CBE,GSE,NonGram,Gram,GRL,SDE,PSS.tot,PSS.choose,PSS.avoid,PSSnTrials,nback_total_acc,test_3_acc,test_6_acc,train_3_acc,train_6_acc,learning_Rate_3,learning_Rate_6
6200,0.665,-0.089285714,8,0.54,28,44,0.83,0.708333333,0.766666667,0.8125,0.6875,60,0.6375,0.638888889,0.673611111,0.840277778,0.736111111,0.229,0.087
6201,0.68,0.017857143,-6,0.62,34,38,0.33,0.583333333,0.7,0.625,0.5,120,0.8,0.916666667,0.854166667,0.864583333,0.8125,0.097,0.071
6202,0.75,-0.133928571,8,0.62,34,38,0.5,0.458333333,0.6,0.9375,1,60,0.8125,0.652777778,0.791666667,0.878472222,0.733796296,0.236,0.048
6204,0.79,-0.026785714,-2,0.62,30,42,0.42,0.583333333,0.683333333,0.5,0.8125,180,0.9875,0.847222222,0.659722222,0.840277778,0.715277778,0.28,0.117
6205,0.825,-0.089285714,14,0.54,36,36,0.75,0.5,0.633333333,1,0.625,360,0.8875,0.888888889,0.805555556,0.847222222,0.722222222,0.157,0.115
6206,0.73,-0.107142857,14,0.54,34,38,0.67,0.416666667,0.566666667,0.625,0.6875,180,0.8125,0.736111111,0.854166667,0.798611111,0.75,0.152,-0.026
6207,0.81,-0.116071429,26,0.62,28,44,0.83,0.416666667,0.833333333,0.625,0.9375,60,0.8875,0.805555556,0.770833333,0.892361111,0.837962963,0.132,0.1
6209,0.58,0.035714286,6,0.5,31,41,0.58,0.458333333,0.75,0.75,0.625,240,0.7875,0.708333333,0.777777778,0.829861111,0.731481481,0.268,0.018
6210,0.8,-0.098214286,2,0.5,35,37,0.58,0.541666667,0.783333333,0.5,0.9375,60,0.875,0.722222222,0.923611111,0.815972222,0.826388889,0.218,0.14
6211,0.835,-0.008928571,4,0.58,32,40,0.5,0.5,0.616666667,0.875,0.1875,60,0.825,0.847222222,0.951388889,0.833333333,0.900462963,0.096,0.092
6213,0.85,-0.080357143,-2,0.46,32,40,0.58,0.583333333,0.55,0.4375,0.5,300,0.9125,0.416666667,0.840277778,0.8125,0.6875,0.168,0.021
