"model","setSize","model.ID","estimate","estimate.type"
"bias","s3",3276,0.17288888888,"y-int"
"bias","s3",3276,0.0883809523771428,"slope"
"bias","s3",3277,0.37733333332,"y-int"
"bias","s3",3277,0.0326666666657142,"slope"
"bias","s3",3278,0.251111111126667,"y-int"
"bias","s3",3278,0.0542857142828572,"slope"
"bias","s3",3279,0.29422222226,"y-int"
"bias","s3",3279,0.0356190476114285,"slope"
"bias","s3",3280,0.184888888866667,"y-int"
"bias","s3",3280,0.0873333333428571,"slope"
"bias","s3",3281,0.420888888873334,"y-int"
"bias","s3",3281,0.0251428571457142,"slope"
"bias","s3",3282,0.21088888892,"y-int"
"bias","s3",3282,0.0579999999942857,"slope"
"bias","s3",3283,0.245999999986667,"y-int"
"bias","s3",3283,0.0473333333371428,"slope"
"bias","s3",3284,0.157111111126667,"y-int"
"bias","s3",3284,0.09304761904,"slope"
"bias","s3",3285,0.355555555533333,"y-int"
"bias","s3",3285,0.0342857142857143,"slope"
"bias","s3",3286,0.26088888888,"y-int"
"bias","s3",3286,0.0594285714342857,"slope"
"bias","s3",3287,0.274888888926667,"y-int"
"bias","s3",3287,0.0487619047542857,"slope"
"bias","s3",3288,0.185777777733333,"y-int"
"bias","s3",3288,0.0858095238142857,"slope"
"bias","s3",3289,0.41088888886,"y-int"
"bias","s3",3289,0.0208571428685714,"slope"
"bias","s3",3290,0.233555555506667,"y-int"
"bias","s3",3290,0.0496190476314286,"slope"
"bias","s3",3291,0.256888888886667,"y-int"
"bias","s3",3291,0.0477142857085714,"slope"
"bias","s3",3292,0.2144444444,"y-int"
"bias","s3",3292,0.0704761904857143,"slope"
"bias","s3",3293,0.377777777806667,"y-int"
"bias","s3",3293,0.0295238095171428,"slope"
"bias","s3",3294,0.230000000006667,"y-int"
"bias","s3",3294,0.0600000000028572,"slope"
"bias","s3",3295,0.277777777786667,"y-int"
"bias","s3",3295,0.0399999999942857,"slope"
"bias","s3",3296,0.182888888913333,"y-int"
"bias","s3",3296,0.0988571428485714,"slope"
"bias","s3",3297,0.399555555593334,"y-int"
"bias","s3",3297,0.0298095237971428,"slope"
"bias","s3",3298,0.252666666666667,"y-int"
"bias","s3",3298,0.0592380952428572,"slope"
"bias","s3",3299,0.26444444444,"y-int"
"bias","s3",3299,0.0419047619028571,"slope"
"bias","s3",3300,0.134222222193333,"y-int"
"bias","s3",3300,0.104190476197143,"slope"
"bias","s3",3301,0.410444444426667,"y-int"
"bias","s3",3301,0.02923809524,"slope"
"bias","s3",3302,0.2057777778,"y-int"
"bias","s3",3302,0.0639047619,"slope"
"bias","s3",3303,0.24822222222,"y-int"
"bias","s3",3303,0.0578095238085714,"slope"
"bias","s3",3304,0.166888888893333,"y-int"
"bias","s3",3304,0.0958095238114286,"slope"
"bias","s3",3305,0.41577777774,"y-int"
"bias","s3",3305,0.0310476190599999,"slope"
"bias","s3",3306,0.2851111111,"y-int"
"bias","s3",3306,0.046,"slope"
"bias","s3",3307,0.241777777746667,"y-int"
"bias","s3",3307,0.0474285714342857,"slope"
"bias","s3",3308,0.149555555553333,"y-int"
"bias","s3",3308,0.0955238095228571,"slope"
"bias","s3",3309,0.399555555606667,"y-int"
"bias","s3",3309,0.0259999999885714,"slope"
"bias","s3",3310,0.202666666693333,"y-int"
"bias","s3",3310,0.0625714285685714,"slope"
"bias","s3",3311,0.22199999996,"y-int"
"bias","s3",3311,0.0541904761971428,"slope"
"bias","s3",3312,0.18755555558,"y-int"
"bias","s3",3312,0.0951428571342857,"slope"
"bias","s3",3313,0.380222222193333,"y-int"
"bias","s3",3313,0.0320000000114286,"slope"
"bias","s3",3314,0.22644444442,"y-int"
"bias","s3",3314,0.05657142858,"slope"
"bias","s3",3315,0.24755555556,"y-int"
"bias","s3",3315,0.0460952380971429,"slope"
"bias","s3",3316,0.160666666666667,"y-int"
"bias","s3",3316,0.0974285714285714,"slope"
"bias","s3",3317,0.438444444406667,"y-int"
"bias","s3",3317,0.0217142857171428,"slope"
"bias","s3",3318,0.217111111146667,"y-int"
"bias","s3",3318,0.0687619047485714,"slope"
"bias","s3",3319,0.235555555593333,"y-int"
"bias","s3",3319,0.0519047618971429,"slope"
"bias","s3",3320,0.176222222226666,"y-int"
"bias","s3",3320,0.104571428568571,"slope"
"bias","s3",3321,0.462444444446667,"y-int"
"bias","s3",3321,0.0181904761914286,"slope"
"bias","s3",3322,0.218222222213333,"y-int"
"bias","s3",3322,0.0601904761914286,"slope"
"bias","s3",3323,0.243111111073333,"y-int"
"bias","s3",3323,0.0532380952457143,"slope"
"bias","s3",3324,0.1842222222,"y-int"
"bias","s3",3324,0.101809523814286,"slope"
