"subjects","model","bll","alpha","egs","imag","ans","bias","participant.min"
6200,"biased",0.6,0.15,0.5,0.5,0.3,0.2,-72.6886782484845
6201,"LTM",0.7,NA,NA,0.2,0.3,NA,-132.778899023209
6202,"biased",0.6,0.15,0.4,0.5,0.2,0.2,-76.9593769578053
6204,"LTM",0.7,NA,NA,0.1,0.2,NA,-90.4333807104672
6205,"LTM",0.6,NA,NA,0.1,0.4,NA,-120.492200894735
6206,"biased",0.5,0.25,0.1,0.5,0.3,0.8,-94.6511457376605
6207,"LTM",0.6,NA,NA,0.1,0.3,NA,-106.388724114058
6209,"biased",0.6,0.15,0.4,0.5,0.2,0.2,-82.8251829639264
6210,"LTM",0.6,NA,NA,0.2,0.3,NA,-146.028989722285
6211,"LTM",0.6,NA,NA,0.4,0.4,NA,-115.388443320017
6213,"biased",0.6,0.2,0.1,0.3,0.3,0.2,-95.6772687248275
6214,"biased",0.5,0.25,0.5,0.2,0.5,0.2,-76.7061970296112
6215,"LTM",0.6,NA,NA,0.2,0.3,NA,-112.10856337726
6216,"LTM",0.7,NA,NA,0.1,0.1,NA,-115.23853969015
6217,"LTM",0.6,NA,NA,0.3,0.5,NA,-129.372448539573
6218,"biased",0.3,0.2,0.1,0.2,0.5,0.4,-80.1147810927301
6219,"LTM",0.7,NA,NA,0.1,0.1,NA,-115.23853969015
6220,"LTM",0.6,NA,NA,0.2,0.3,NA,-79.1157376172333
6223,"metaRL",0.5,0.25,0.1,0.4,0.5,0.7121212121,-59.8921997380129
6225,"LTM",0.6,NA,NA,0.2,0.3,NA,-120.85358926223
6226,"LTM",0.7,NA,NA,0.1,0.5,NA,-113.554610417585
6230,"biased",0.3,0.1,0.4,0.3,0.2,0.2,-94.7830680239319
6231,"LTM",0.6,NA,NA,0.2,0.3,NA,-59.1288641970494
6234,"LTM",0.7,NA,NA,0.1,0.2,NA,-120.633410958509
6235,"biased",0.7,0.25,0.5,0.1,0.5,0.4,-93.8704785348235
6238,"LTM",0.6,NA,NA,0.2,0.3,NA,-103.901848636401
6241,"metaRL",0.7,0.25,0.2,0.4,0.3,0.4166666667,-100.110373543898
6242,"metaRL",0.7,0.2,0.3,0.4,0.4,0.1893939394,-109.254371726801
6244,"biased",0.5,0.25,0.5,0.2,0.2,0.2,-93.4283670497182
6245,"LTM",0.7,NA,NA,0.2,0.4,NA,-122.814357550592
6246,"LTM",0.6,NA,NA,0.2,0.3,NA,-95.3866561071743
6247,"biased",0.5,0.25,0.4,0.1,0.1,0.4,-62.0407484830676
6250,"LTM",0.7,NA,NA,0.1,0.5,NA,-108.585884320786
6253,"LTM",0.7,NA,NA,0.1,0.1,NA,-124.071205257089
6256,"LTM",0.7,NA,NA,0.2,0.3,NA,-94.8698383640012
