,0,1,2,3,4,5,6,7,8
0,"[0.30333333 0.42       0.50666667 0.62666667 0.63333333 0.68333333
 0.75666667 0.82666667 0.82666667 0.86       0.95666667 0.93      ]","[0.33333333 0.40833333 0.465      0.59333333 0.69833333 0.78
 0.83833333 0.84833333 0.89166667 0.91666667 0.90833333 0.905     ]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000",0.2,1,0.2,0.2,0.6
1,"[0.33       0.33333333 0.42666667 0.51666667 0.66666667 0.68333333
 0.75666667 0.84       0.84666667 0.92333333 0.89       0.88      ]","[0.34       0.43166667 0.51666667 0.59833333 0.695      0.79
 0.82166667 0.86       0.90666667 0.915      0.91666667 0.94333333]","     0
0  1.0
1  1.0
2  1.0
3  1.0","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.3,1,0.2,0.2,0.6
2,"[0.39666667 0.40333333 0.43       0.55       0.61666667 0.68
 0.79333333 0.84       0.86333333 0.86333333 0.89666667 0.88666667]","[0.315      0.425      0.515      0.625      0.72833333 0.77666667
 0.86       0.86833333 0.915      0.92166667 0.91       0.93666667]","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000","          0
0  0.333333
1  1.000000
2  1.000000
3  1.000000",0.4,1,0.2,0.2,0.6
3,"[0.32666667 0.36       0.47       0.55666667 0.61333333 0.65
 0.73       0.81333333 0.84       0.88333333 0.92333333 0.94      ]","[0.31666667 0.435      0.47833333 0.57333333 0.7        0.74666667
 0.825      0.845      0.88333333 0.91833333 0.91166667 0.92333333]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  0.333333
1  1.000000
2  1.000000
3  1.000000",0.5,1,0.2,0.2,0.6
4,"[0.34666667 0.37333333 0.47       0.53666667 0.64666667 0.73666667
 0.73333333 0.81       0.81666667 0.86666667 0.9        0.92      ]","[0.31333333 0.39166667 0.46833333 0.56833333 0.69333333 0.72
 0.83166667 0.90166667 0.89       0.895      0.93833333 0.94333333]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  0.666667
2  0.666667
3  1.000000",0.1,2,0.2,0.2,0.6
5,"[0.31333333 0.4        0.43333333 0.56333333 0.57666667 0.72666667
 0.78333333 0.80666667 0.84333333 0.90333333 0.91333333 0.93666667]","[0.33333333 0.4        0.52833333 0.63166667 0.695      0.75666667
 0.84833333 0.87       0.905      0.91166667 0.92833333 0.945     ]","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.2,2,0.2,0.2,0.6
6,"[0.34333333 0.41333333 0.46666667 0.52       0.60666667 0.70333333
 0.79333333 0.83       0.89333333 0.88       0.91666667 0.93666667]","[0.365      0.48666667 0.51833333 0.605      0.69       0.80833333
 0.83       0.88333333 0.905      0.91       0.93       0.95      ]","     0
0  1.0
1  1.0
2  1.0
3  1.0","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.3,2,0.2,0.2,0.6
7,"[0.30666667 0.38666667 0.43666667 0.57333333 0.67333333 0.69333333
 0.78333333 0.84333333 0.81333333 0.88666667 0.86       0.92333333]","[0.33       0.415      0.54666667 0.61333333 0.71166667 0.78166667
 0.81       0.87666667 0.85833333 0.91       0.92166667 0.91666667]","          0
0  0.666667
1  0.666667
2  1.000000
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.4,2,0.2,0.2,0.6
8,"[0.3        0.39       0.46333333 0.57666667 0.66333333 0.67333333
 0.77       0.79       0.79333333 0.85666667 0.91       0.92666667]","[0.32666667 0.405      0.53       0.63       0.69666667 0.745
 0.805      0.875      0.90833333 0.91       0.92333333 0.92833333]","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.5,2,0.2,0.2,0.6
9,"[0.32333333 0.43333333 0.43666667 0.61333333 0.66333333 0.70333333
 0.77333333 0.79333333 0.83       0.85       0.9        0.92333333]","[0.33       0.45166667 0.49333333 0.615      0.70833333 0.78166667
 0.85       0.86333333 0.89333333 0.895      0.92333333 0.94      ]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000",0.1,3,0.2,0.2,0.6
