,set3_learn,set6_learn,set3_test,set6_test,bll,alpha,egs,imag,ans,strtg
0,"[0.34666667 0.42       0.46666667 0.52       0.59       0.65
 0.74       0.74333333 0.82       0.88       0.89666667 0.91333333]","[0.33333333 0.415      0.49666667 0.56833333 0.605      0.66166667
 0.74333333 0.79833333 0.85333333 0.90333333 0.92666667 0.95166667]",1.0,1.0,0.3,0.05,0.1,0.1,0.1,0.13636363636363635
1,"[0.27666667 0.34333333 0.44       0.47666667 0.63       0.61666667
 0.75       0.81666667 0.82       0.85       0.91333333 0.92333333]","[0.30666667 0.38833333 0.45833333 0.55166667 0.59166667 0.67166667
 0.72833333 0.77666667 0.84166667 0.86666667 0.91166667 0.92666667]",1.0,1.0,0.3,0.05,0.1,0.1,0.2,0.21212121212121213
2,"[0.30333333 0.39       0.42       0.5        0.61333333 0.67666667
 0.73       0.78333333 0.80666667 0.87333333 0.89333333 0.92666667]","[0.32666667 0.40666667 0.46833333 0.54166667 0.605      0.66666667
 0.73       0.77666667 0.83333333 0.88333333 0.91333333 0.95166667]",1.0,0.8333333333333333,0.3,0.05,0.1,0.1,0.3,0.3712121212121212
3,"[0.28       0.37666667 0.48       0.51       0.57       0.64666667
 0.73666667 0.76333333 0.77666667 0.86333333 0.87333333 0.9       ]","[0.33333333 0.39166667 0.46666667 0.535      0.60166667 0.66166667
 0.76833333 0.79       0.84666667 0.85333333 0.915      0.93666667]",0.9166666666666666,1.0,0.3,0.05,0.1,0.1,0.4,0.22727272727272727
4,"[0.26       0.32333333 0.45333333 0.47       0.54       0.60333333
 0.62       0.71333333 0.76666667 0.78       0.84       0.87      ]","[0.33166667 0.38833333 0.43833333 0.54166667 0.58       0.66166667
 0.74166667 0.75333333 0.82       0.87166667 0.915      0.93833333]",0.8333333333333333,0.75,0.3,0.05,0.1,0.1,0.5,0.4166666666666667
5,"[0.32       0.41333333 0.48333333 0.56666667 0.64333333 0.70666667
 0.79       0.86333333 0.86333333 0.91       0.92       0.94666667]","[0.27833333 0.46       0.54       0.57333333 0.69833333 0.75833333
 0.81       0.87833333 0.9        0.94666667 0.965      0.97833333]",1.0,1.0,0.3,0.05,0.1,0.2,0.1,0.29545454545454547
6,"[0.25333333 0.39333333 0.46666667 0.57666667 0.61333333 0.63666667
 0.73       0.78333333 0.85333333 0.9        0.9        0.96      ]","[0.28833333 0.45833333 0.51666667 0.605      0.69666667 0.76166667
 0.83333333 0.87833333 0.91       0.94       0.965      0.97833333]",1.0,1.0,0.3,0.05,0.1,0.2,0.2,0.19696969696969696
7,"[0.30333333 0.33       0.45333333 0.48       0.56333333 0.63666667
 0.75       0.82666667 0.84333333 0.85666667 0.91       0.95      ]","[0.315      0.40666667 0.49666667 0.61333333 0.65333333 0.71333333
 0.81       0.87       0.895      0.935      0.95666667 0.97166667]",1.0,0.9166666666666666,0.3,0.05,0.1,0.2,0.3,0.32575757575757575
8,"[0.27666667 0.38666667 0.45333333 0.53       0.62333333 0.66666667
 0.74       0.79666667 0.83       0.9        0.91       0.93666667]","[0.33       0.46166667 0.52833333 0.645      0.69833333 0.78666667
 0.83       0.85833333 0.91       0.94666667 0.96166667 0.96833333]",1.0,1.0,0.3,0.05,0.1,0.2,0.4,0.12878787878787878
9,"[0.27333333 0.34       0.44666667 0.54666667 0.58666667 0.65
 0.73333333 0.75333333 0.83       0.82666667 0.87       0.95      ]","[0.34166667 0.39833333 0.515      0.605      0.64833333 0.73
 0.77833333 0.825      0.875      0.90166667 0.935      0.945     ]",0.9166666666666666,1.0,0.3,0.05,0.1,0.2,0.5,0.23484848484848486
